time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781395200,long,60.703,tp,3.8,3.8,1,9.4798,True,True,0.61,True
1782086400,short,66.972,tp,3.8,3.8,1,8.6168,True,True,0.32,False
1782777600,long,66.909,sl,-1.2,-1.2,1,8.0928,True,True,0.61,True
