code_id,code_name,symbol,timeframe,risk_model,period_start,period_end,is_oos,trades,win_rate_pct,profit_factor,net_profit_pct,max_dd_pct,avg_r,verdict,notes
1,utbot,BTCUSDT,1h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,25,28.0,1.23,4.47,-6.89,0.2,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,20,55.0,0.69,-9.2,-10.05,-0.15,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,8,62.5,1.98,9.3,-3.2,0.392,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,1h,native_flip,2026-06-11,2026-07-11,IS,79,35.4,0.66,-13.99,-14.94,,fail,"1-month window, costs included"
2,alphatrend,BTCUSDT,1h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,14,35.7,0.83,-1.93,-6.45,-0.129,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,1h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,11,9.1,0.32,-8.0,-6.99,-0.745,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,1h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,12,50.0,0.56,-8.43,-13.48,-0.233,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,1h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,9,11.1,0.15,-19.98,-17.33,-0.807,insufficient_n,"1-month window, costs included"
2,alphatrend,BTCUSDT,1h,native_flip,2026-06-11,2026-07-11,IS,13,30.8,0.56,-8.0,-12.17,,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,1h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,12,41.7,1.07,0.47,-3.56,0.05,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,1h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,8,12.5,0.45,-4.61,-5.86,-0.575,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,1h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,8,50.0,0.56,-5.7,-10.62,-0.233,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,1h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,7,28.6,0.48,-8.43,-11.78,-0.4,insufficient_n,"1-month window, costs included"
3,macross,BTCUSDT,1h,native_flip,2026-06-11,2026-07-11,IS,11,27.3,0.68,-3.71,-6.91,,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,4h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,21,33.3,0.75,-4.32,-10.86,-0.2,insufficient_n,"1-month window, costs included"
1,utbot,BTCUSDT,4h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,16,6.2,0.21,-13.39,-12.44,-0.887,insufficient_n,"1-month window, costs included"
