indicator,symbol,15m,1h,4h,5m
Cardwell,BTC,27,22,13,28
Cardwell,EURUSD,236,84,29,612
Cardwell,XAU,254,80,17,760
EWO_RSI,BTC,13,11,3,19
EWO_RSI,EURUSD,0,0,0,0
EWO_RSI,XAU,36,5,4,90
Elliott_ZZ,BTC,27,25,14,31
Elliott_ZZ,EURUSD,463,126,37,1009
Elliott_ZZ,XAU,405,114,30,1187
MACD,BTC,28,28,15,29
MACD,EURUSD,378,114,33,863
MACD,XAU,366,114,30,1088
