trades,wins,losses,timeouts,wr,wr_res,avg_bars,symbol,tf,gate,exit
5,5,0,0,100.0,100.0,2.8,XAU,4h,near,atr_hiwr
5,5,0,0,100.0,100.0,3.2,XAU,4h,near,atr_bal
5,3,2,0,60.0,60.0,1.0,XAU,4h,near,pip5
4,4,0,0,100.0,100.0,6.0,XAU,4h,magnet,atr_hiwr
4,3,1,0,75.0,75.0,3.25,XAU,4h,magnet,atr_bal
4,2,2,0,50.0,50.0,1.0,XAU,4h,magnet,pip5
6,6,0,0,100.0,100.0,5.33,XAU,4h,near_or_magnet,atr_hiwr
6,5,1,0,83.33,83.33,3.67,XAU,4h,near_or_magnet,atr_bal
6,3,3,0,50.0,50.0,1.0,XAU,4h,near_or_magnet,pip5
3,3,0,0,100.0,100.0,2.0,XAU,4h,near_and_magnet,atr_hiwr
3,3,0,0,100.0,100.0,2.33,XAU,4h,near_and_magnet,atr_bal
3,2,1,0,66.67,66.67,1.0,XAU,4h,near_and_magnet,pip5
