indicator,symbol,15m,1h,4h,5m
Cardwell,BTC,29.63,31.82,38.46,21.43
Cardwell,EURUSD,50.0,42.86,27.59,43.3
Cardwell,XAU,4.33,2.5,0.0,6.84
EWO_RSI,BTC,7.69,18.18,33.33,26.32
EWO_RSI,XAU,2.78,0.0,0.0,2.22
Elliott_ZZ,BTC,22.22,20.0,21.43,19.35
Elliott_ZZ,EURUSD,44.92,48.41,45.95,47.27
Elliott_ZZ,XAU,1.98,1.75,0.0,5.22
MACD,BTC,14.29,10.71,26.67,6.9
MACD,EURUSD,43.12,46.49,33.33,49.25
MACD,XAU,2.73,0.88,0.0,5.61
