time,open,high,low,close
2025-07-17 16:00,1.158749,1.160227,1.158346,1.160227
2025-07-17 20:00,1.160227,1.162385,1.159286,1.161845
2025-07-18 00:00,1.16198,1.163738,1.16198,1.162791
2025-07-18 04:00,1.162656,1.163332,1.161575,1.163196
2025-07-18 08:00,1.163467,1.16523,1.163467,1.164687
2025-07-18 12:00,1.164687,1.16727,1.164687,1.164687
2025-07-18 16:00,1.164822,1.165094,1.16198,1.16252
2025-07-18 20:00,1.16252,1.163061,1.161845,1.161845
2025-07-20 20:00,1.162926,1.163467,1.162791,1.163332
2025-07-21 00:00,1.163332,1.163873,1.161845,1.162791
2025-07-21 04:00,1.162926,1.164958,1.162656,1.164687
2025-07-21 08:00,1.164687,1.16727,1.163738,1.167133
2025-07-21 12:00,1.16727,1.171921,1.166181,1.170823
2025-07-21 16:00,1.170686,1.170823,1.169044,1.169317
2025-07-21 20:00,1.169317,1.170001,1.16918,1.169727
2025-07-22 00:00,1.169591,1.169864,1.168634,1.169044
2025-07-22 04:00,1.16918,1.169727,1.168634,1.168907
2025-07-22 08:00,1.16877,1.171234,1.16877,1.170549
2025-07-22 12:00,1.170686,1.175226,1.168224,1.175226
2025-07-22 16:00,1.174812,1.176332,1.174536,1.175641
2025-07-22 20:00,1.175364,1.176332,1.173985,1.174122
2025-07-23 00:00,1.17426,1.175088,1.173434,1.17426
2025-07-23 04:00,1.17426,1.175364,1.173158,1.174536
2025-07-23 08:00,1.174398,1.175088,1.172745,1.172883
2025-07-23 12:00,1.172745,1.175779,1.171509,1.175503
2025-07-23 16:00,1.175088,1.177856,1.174812,1.177579
2025-07-23 20:00,1.177718,1.178273,1.177024,1.177718
2025-07-24 00:00,1.177718,1.178273,1.176609,1.177856
2025-07-24 04:00,1.177718,1.178134,1.175917,1.176471
2025-07-24 08:00,1.176747,1.177163,1.174812,1.175917
2025-07-24 12:00,1.175917,1.179106,1.173709,1.176886
2025-07-24 16:00,1.176747,1.178134,1.176194,1.176194
2025-07-24 20:00,1.176194,1.176332,1.174398,1.175779
2025-07-25 00:00,1.175917,1.176194,1.173847,1.174674
2025-07-25 04:00,1.174536,1.176332,1.173985,1.175641
2025-07-25 08:00,1.175917,1.175917,1.171646,1.17247
2025-07-25 12:00,1.17247,1.173985,1.17096,1.173296
2025-07-25 16:00,1.173296,1.175088,1.17247,1.174812
2025-07-25 20:00,1.174674,1.174674,1.174122,1.174398
2025-07-27 20:00,1.175779,1.176332,1.175779,1.175917
2025-07-28 00:00,1.176055,1.17744,1.175088,1.175917
2025-07-28 04:00,1.176055,1.176194,1.167951,1.167951
2025-07-28 08:00,1.167815,1.169317,1.164958,1.165365
2025-07-28 12:00,1.165773,1.166725,1.161305,1.161305
2025-07-28 16:00,1.161305,1.161305,1.158883,1.15942
2025-07-28 20:00,1.15942,1.159958,1.158749,1.159958
2025-07-29 00:00,1.159958,1.160227,1.158614,1.158749
2025-07-29 04:00,1.158614,1.159286,1.15327,1.155668
2025-07-29 08:00,1.155668,1.159017,1.154201,1.154468
2025-07-29 12:00,1.154201,1.155135,1.152339,1.153403
2025-07-29 16:00,1.153802,1.156203,1.153802,1.155402
2025-07-29 20:00,1.155402,1.155668,1.154601,1.155402
2025-07-30 00:00,1.155402,1.157541,1.155402,1.15647
2025-07-30 04:00,1.15647,1.156872,1.154335,1.155668
2025-07-30 08:00,1.155802,1.156337,1.152605,1.153403
2025-07-30 12:00,1.153536,1.153802,1.146132,1.147184
2025-07-30 16:00,1.147315,1.150218,1.141944,1.142465
2025-07-30 20:00,1.142727,1.14338,1.140511,1.143118
2025-07-31 00:00,1.143118,1.144034,1.141292,1.142727
2025-07-31 04:00,1.142596,1.146263,1.142465,1.145344
2025-07-31 08:00,1.145213,1.145738,1.142465,1.145344
2025-07-31 12:00,1.145213,1.145344,1.141032,1.143641
2025-07-31 16:00,1.143118,1.143641,1.141553,1.141553
2025-07-31 20:00,1.141422,1.142857,1.141162,1.142465
2025-08-01 00:00,1.142465,1.143249,1.140771,1.142074
2025-08-01 04:00,1.142074,1.144034,1.141683,1.142204
2025-08-01 08:00,1.142204,1.142596,1.139731,1.140901
2025-08-01 12:00,1.140771,1.158614,1.139601,1.155936
2025-08-01 16:00,1.155668,1.15848,1.152074,1.157274
2025-08-01 20:00,1.157274,1.159958,1.157274,1.15942
2025-08-03 20:00,1.158749,1.159286,1.158212,1.159152
2025-08-04 00:00,1.159152,1.159152,1.155402,1.158212
2025-08-04 04:00,1.158212,1.158883,1.155535,1.156738
2025-08-04 08:00,1.15647,1.158883,1.155402,1.157006
2025-08-04 12:00,1.157006,1.159152,1.156069,1.15714
2025-08-04 16:00,1.157274,1.158078,1.156203,1.157006
2025-08-04 20:00,1.157006,1.158883,1.15647,1.158749
2025-08-05 00:00,1.158883,1.159152,1.155802,1.155936
2025-08-05 04:00,1.155802,1.15647,1.154201,1.155001
2025-08-05 08:00,1.154601,1.155135,1.15327,1.154201
2025-08-05 12:00,1.154068,1.158614,1.153403,1.158346
2025-08-05 16:00,1.158346,1.158883,1.157006,1.157675
2025-08-05 20:00,1.157675,1.158346,1.157407,1.158212
2025-08-06 00:00,1.158212,1.158749,1.156872,1.158346
2025-08-06 04:00,1.15848,1.159152,1.157541,1.15848
2025-08-06 08:00,1.158346,1.16171,1.157541,1.160766
2025-08-06 12:00,1.160901,1.164958,1.160497,1.164958
2025-08-06 16:00,1.164822,1.167133,1.163467,1.165909
2025-08-06 20:00,1.166181,1.166997,1.165637,1.166589
2025-08-07 00:00,1.166453,1.166861,1.165365,1.166861
2025-08-07 04:00,1.166725,1.169454,1.166725,1.169317
2025-08-07 08:00,1.169317,1.170138,1.164009,1.164822
2025-08-07 12:00,1.164822,1.166589,1.16171,1.164415
2025-08-07 16:00,1.164415,1.165909,1.162385,1.165773
2025-08-07 20:00,1.165909,1.168088,1.165909,1.168088
2025-08-08 00:00,1.168088,1.168088,1.165909,1.166453
2025-08-08 04:00,1.166317,1.166861,1.164415,1.166181
2025-08-08 08:00,1.166181,1.166589,1.163332,1.164551
2025-08-08 12:00,1.164822,1.166997,1.16428,1.166453
2025-08-08 16:00,1.166317,1.166997,1.164144,1.164687
2025-08-08 20:00,1.164687,1.164687,1.16428,1.164415
2025-08-10 20:00,1.165094,1.165365,1.164822,1.165094
2025-08-11 00:00,1.165094,1.167815,1.164551,1.167542
2025-08-11 04:00,1.167679,1.167951,1.165094,1.165094
2025-08-11 08:00,1.16523,1.166317,1.162791,1.163196
2025-08-11 12:00,1.163332,1.163332,1.15942,1.161036
2025-08-11 16:00,1.161036,1.16171,1.160227,1.160766
2025-08-11 20:00,1.160766,1.16225,1.160766,1.16198
2025-08-12 00:00,1.161845,1.162926,1.161575,1.162385
2025-08-12 04:00,1.16225,1.163196,1.16117,1.162385
2025-08-12 08:00,1.16225,1.162385,1.160227,1.160766
2025-08-12 12:00,1.161036,1.170001,1.160497,1.167679
2025-08-12 16:00,1.167679,1.168907,1.166861,1.167951
2025-08-12 20:00,1.167679,1.168224,1.16727,1.168088
2025-08-13 00:00,1.168088,1.169044,1.167406,1.16877
2025-08-13 04:00,1.168634,1.171509,1.168088,1.171234
2025-08-13 08:00,1.171234,1.173296,1.171234,1.172196
2025-08-13 12:00,1.172196,1.172608,1.169727,1.171783
2025-08-13 16:00,1.171646,1.171783,1.170001,1.170412
2025-08-13 20:00,1.170275,1.171646,1.170275,1.171646
2025-08-14 00:00,1.171646,1.171783,1.170275,1.170686
2025-08-14 04:00,1.170686,1.17096,1.168088,1.168361
2025-08-14 08:00,1.168361,1.170001,1.167133,1.169044
2025-08-14 12:00,1.169044,1.169454,1.16428,1.164687
2025-08-14 16:00,1.164687,1.165365,1.163467,1.16523
2025-08-14 20:00,1.16523,1.165637,1.164958,1.165365
2025-08-15 00:00,1.165365,1.166861,1.165094,1.166317
2025-08-15 04:00,1.166317,1.168634,1.166181,1.168634
2025-08-15 08:00,1.168634,1.169454,1.168088,1.169044
2025-08-15 12:00,1.16918,1.171783,1.167815,1.17096
2025-08-15 16:00,1.170823,1.171097,1.170275,1.170412
2025-08-15 20:00,1.170549,1.171097,1.170412,1.170823
2025-08-17 20:00,1.171783,1.171783,1.170823,1.171097
2025-08-18 00:00,1.17096,1.171372,1.169727,1.170686
2025-08-18 04:00,1.170823,1.171372,1.168497,1.168634
2025-08-18 08:00,1.168497,1.16918,1.167542,1.167815
2025-08-18 12:00,1.167951,1.16877,1.166453,1.167133
2025-08-18 16:00,1.166861,1.16727,1.166045,1.166997
2025-08-18 20:00,1.167133,1.167815,1.165365,1.166997
2025-08-19 00:00,1.167133,1.16727,1.164415,1.165773
2025-08-19 04:00,1.165773,1.16877,1.165501,1.168634
2025-08-19 08:00,1.168634,1.169591,1.167542,1.168907
2025-08-19 12:00,1.16877,1.169044,1.166317,1.166317
2025-08-19 16:00,1.166589,1.166589,1.164687,1.165094
2025-08-19 20:00,1.164958,1.165773,1.164415,1.164415
2025-08-20 00:00,1.164415,1.164551,1.162656,1.163603
2025-08-20 04:00,1.163603,1.165094,1.162656,1.164687
2025-08-20 08:00,1.164822,1.166045,1.163738,1.164551
2025-08-20 12:00,1.164687,1.167542,1.164687,1.16523
2025-08-20 16:00,1.165094,1.167542,1.165094,1.165637
2025-08-20 20:00,1.165637,1.166181,1.165094,1.165501
2025-08-21 00:00,1.165637,1.165637,1.164551,1.165094
2025-08-21 04:00,1.164958,1.166453,1.162926,1.166181
2025-08-21 08:00,1.166181,1.166589,1.164551,1.164551
2025-08-21 12:00,1.164415,1.165909,1.160631,1.161036
2025-08-21 16:00,1.160766,1.16225,1.160631,1.161036
2025-08-21 20:00,1.160901,1.161845,1.160631,1.16171
2025-08-22 00:00,1.16144,1.162115,1.15942,1.15942
2025-08-22 04:00,1.15942,1.160362,1.158749,1.159958
2025-08-22 08:00,1.159958,1.161036,1.159555,1.160901
2025-08-22 12:00,1.16117,1.173434,1.160227,1.171783
2025-08-22 16:00,1.171783,1.174674,1.171783,1.17247
2025-08-22 20:00,1.17247,1.173158,1.172196,1.172608
2025-08-24 20:00,1.171921,1.171921,1.171097,1.171234
2025-08-25 00:00,1.17096,1.171097,1.169727,1.171097
2025-08-25 04:00,1.171097,1.172333,1.170001,1.170138
2025-08-25 08:00,1.170412,1.171372,1.168907,1.170549
2025-08-25 12:00,1.170686,1.171234,1.166997,1.16727
2025-08-25 16:00,1.167133,1.16727,1.160766,1.161305
2025-08-25 20:00,1.161305,1.162926,1.160631,1.16171
2025-08-26 00:00,1.161575,1.166317,1.16144,1.162926
2025-08-26 04:00,1.163061,1.164822,1.160766,1.16252
2025-08-26 08:00,1.162656,1.166181,1.161036,1.165773
2025-08-26 12:00,1.165909,1.166861,1.164144,1.165909
2025-08-26 16:00,1.166045,1.166453,1.163738,1.164415
2025-08-26 20:00,1.164415,1.16523,1.163738,1.164144
2025-08-27 00:00,1.164144,1.164551,1.162656,1.162791
2025-08-27 04:00,1.162791,1.162791,1.160093,1.160766
2025-08-27 08:00,1.160631,1.160631,1.157943,1.158883
2025-08-27 12:00,1.159152,1.16144,1.158749,1.16144
2025-08-27 16:00,1.16144,1.164551,1.16144,1.163873
2025-08-27 20:00,1.163873,1.165094,1.163467,1.165094
2025-08-28 00:00,1.165094,1.165773,1.164551,1.164687
2025-08-28 04:00,1.164687,1.16523,1.163738,1.164822
2025-08-28 08:00,1.164822,1.167815,1.163467,1.166861
2025-08-28 12:00,1.16727,1.169044,1.166317,1.167542
2025-08-28 16:00,1.167542,1.170138,1.167542,1.168634
2025-08-28 20:00,1.168634,1.16877,1.167679,1.168224
2025-08-29 00:00,1.168224,1.168497,1.166045,1.166589
2025-08-29 04:00,1.166589,1.167951,1.166317,1.167951
