time,open,high,low,close
2026-04-17 18:00,4884.7,4890.1,4877.0,4879.6
2026-04-17 19:00,4879.9,4882.6,4873.6,4875.5
2026-04-17 20:00,4875.6,4879.6,4848.0,4879.6
2026-04-19 22:00,4813.4,4815.0,4797.6,4799.4
2026-04-19 23:00,4798.9,4799.4,4752.0,4775.0
2026-04-20 00:00,4774.4,4793.8,4764.2,4792.0
2026-04-20 01:00,4792.0,4834.5,4790.3,4827.8
2026-04-20 02:00,4827.4,4828.8,4813.1,4813.3
2026-04-20 09:00,4879.6,4879.6,4804.6,4811.4
2026-04-20 10:00,4811.7,4879.6,4809.6,4815.7
2026-04-20 11:00,4815.7,4879.6,4806.3,4830.9
2026-04-20 12:00,4830.8,4842.9,4818.8,4823.3
2026-04-20 13:00,4823.6,4847.3,4819.7,4838.8
2026-04-20 14:00,4838.8,4847.9,4811.9,4824.9
2026-04-20 15:00,4825.7,4829.8,4812.6,4819.9
2026-04-20 16:00,4819.8,4826.6,4812.5,4825.6
2026-04-20 17:00,4825.9,4832.4,4824.0,4827.1
2026-04-20 18:00,4827.6,4837.0,4827.6,4834.8
2026-04-20 19:00,4834.7,4842.1,4829.7,4834.8
2026-04-20 20:00,4835.0,4842.7,4832.8,4841.0
2026-04-20 22:00,4842.4,4854.8,4841.1,4848.5
2026-04-20 23:00,4848.7,4852.5,4840.5,4842.4
2026-04-21 00:00,4843.0,4851.2,4836.4,4843.6
2026-04-21 01:00,4843.8,4844.3,4825.3,4829.8
2026-04-21 02:00,4830.1,4830.2,4821.5,4826.0
2026-04-21 03:00,4826.2,4826.9,4811.2,4816.3
2026-04-21 04:00,4816.1,4816.6,4807.0,4807.7
2026-04-21 05:00,4807.8,4815.7,4801.7,4802.9
2026-04-21 06:00,4802.6,4828.8,4793.0,4796.8
2026-04-21 07:00,4796.3,4811.5,4790.8,4804.9
2026-04-21 08:00,4804.5,4812.2,4793.3,4805.0
2026-04-21 09:00,4804.9,4808.3,4800.0,4802.4
2026-04-21 10:00,4802.8,4809.7,4799.6,4809.0
2026-04-21 11:00,4809.2,4818.0,4794.3,4814.2
2026-04-21 12:00,4814.4,4816.7,4781.6,4797.6
2026-04-21 13:00,4797.6,4813.8,4777.3,4798.2
2026-04-21 14:00,4798.2,4801.9,4740.9,4757.4
2026-04-21 15:00,4757.8,4776.6,4745.9,4759.8
2026-04-21 16:00,4760.3,4765.9,4726.4,4729.5
2026-04-21 17:00,4729.3,4742.0,4715.0,4731.0
2026-04-21 18:00,4730.9,4734.2,4712.0,4728.1
2026-04-21 19:00,4728.7,4734.1,4685.8,4698.3
2026-04-21 20:00,4698.5,4739.6,4688.4,4738.5
2026-04-21 22:00,4738.7,4748.1,4733.1,4737.6
2026-04-21 23:00,4737.1,4758.4,4736.0,4755.8
2026-04-22 00:00,4756.3,4766.0,4756.1,4757.7
2026-04-22 01:00,4757.4,4772.5,4753.5,4769.8
2026-04-22 02:00,4770.3,4776.2,4767.5,4773.5
2026-04-22 03:00,4773.1,4782.7,4770.4,4777.0
2026-04-22 04:00,4776.1,4777.4,4770.1,4772.4
2026-04-22 05:00,4772.4,4789.9,4769.9,4786.4
2026-04-22 06:00,4786.0,4786.5,4777.5,4786.0
2026-04-22 07:00,4785.9,4790.8,4778.4,4779.5
2026-04-22 08:00,4779.6,4781.4,4770.5,4775.7
2026-04-22 09:00,4775.5,4781.1,4771.0,4773.4
2026-04-22 10:00,4773.6,4779.2,4764.3,4778.1
2026-04-22 11:00,4777.9,4779.6,4766.3,4768.9
2026-04-22 12:00,4769.2,4779.0,4761.1,4762.6
2026-04-22 13:00,4762.9,4779.4,4754.6,4771.7
2026-04-22 14:00,4771.5,4776.3,4746.9,4754.3
2026-04-22 15:00,4754.2,4758.4,4743.2,4746.2
2026-04-22 16:00,4746.1,4754.1,4742.1,4747.5
2026-04-22 17:00,4747.4,4758.4,4747.2,4756.4
2026-04-22 18:00,4756.1,4770.2,4748.4,4760.7
2026-04-22 19:00,4761.0,4764.4,4755.8,4759.0
2026-04-22 20:00,4759.4,4759.9,4753.1,4758.3
2026-04-22 22:00,4759.2,4763.6,4742.8,4743.2
2026-04-22 23:00,4743.5,4746.8,4740.6,4745.0
2026-04-23 00:00,4745.0,4771.3,4710.4,4765.5
2026-04-23 01:00,4765.3,4767.5,4738.4,4739.4
2026-04-23 02:00,4738.9,4740.9,4714.0,4714.4
2026-04-23 03:00,4715.0,4724.8,4713.9,4720.0
2026-04-23 04:00,4719.0,4722.7,4714.3,4720.1
2026-04-23 05:00,4719.6,4731.1,4705.7,4729.0
2026-04-23 06:00,4729.6,4739.0,4724.9,4730.1
2026-04-23 07:00,4729.9,4737.4,4719.4,4736.1
2026-04-23 08:00,4735.6,4742.1,4717.8,4719.6
2026-04-23 09:00,4719.4,4720.0,4710.7,4713.5
2026-04-23 10:00,4713.5,4717.9,4700.0,4712.6
2026-04-23 11:00,4712.8,4737.8,4711.3,4737.4
2026-04-23 12:00,4737.1,4761.7,4736.3,4757.7
2026-04-23 13:00,4758.1,4759.1,4740.8,4742.0
2026-04-23 14:00,4741.5,4754.0,4733.9,4750.6
2026-04-23 15:00,4750.9,4758.2,4733.3,4737.3
2026-04-23 16:00,4737.6,4754.1,4732.5,4749.8
2026-04-23 17:00,4750.1,4751.7,4680.1,4725.6
2026-04-23 18:00,4726.1,4738.7,4714.9,4717.2
2026-04-23 19:00,4717.1,4720.6,4705.5,4712.8
2026-04-23 20:00,4712.5,4714.8,4702.7,4708.6
2026-04-23 22:00,4715.6,4719.8,4705.3,4708.5
2026-04-23 23:00,4708.7,4716.1,4702.0,4710.8
2026-04-24 00:00,4711.7,4723.1,4706.3,4719.8
2026-04-24 01:00,4719.8,4726.7,4705.7,4715.1
2026-04-24 02:00,4715.2,4716.4,4687.3,4692.4
2026-04-24 03:00,4692.0,4693.5,4683.5,4687.5
2026-04-24 04:00,4686.9,4691.5,4672.2,4689.3
2026-04-24 05:00,4689.6,4702.3,4684.4,4701.5
2026-04-24 06:00,4701.7,4703.1,4681.6,4687.1
2026-04-24 07:00,4687.1,4710.7,4686.2,4709.4
2026-04-24 08:00,4710.1,4712.7,4700.1,4705.5
2026-04-24 09:00,4706.1,4711.9,4694.9,4697.7
2026-04-24 10:00,4697.4,4701.5,4689.6,4693.0
2026-04-24 11:00,4693.1,4733.9,4693.0,4723.2
2026-04-24 12:00,4723.2,4727.9,4706.3,4716.9
2026-04-24 13:00,4717.2,4734.2,4705.4,4727.9
2026-04-24 14:00,4728.0,4757.1,4723.2,4743.2
2026-04-24 15:00,4743.4,4750.4,4730.8,4743.9
2026-04-24 16:00,4743.6,4746.5,4735.6,4743.7
2026-04-24 17:00,4744.4,4747.0,4735.7,4740.1
2026-04-24 18:00,4740.4,4741.5,4733.0,4738.7
2026-04-24 19:00,4739.4,4742.4,4729.5,4732.1
2026-04-24 20:00,4731.9,4740.9,4721.1,4740.9
2026-04-26 22:00,4696.1,4704.0,4694.0,4699.6
2026-04-26 23:00,4699.1,4700.0,4689.1,4694.8
2026-04-27 00:00,4695.3,4713.1,4686.6,4712.6
2026-04-27 01:00,4712.4,4724.8,4705.5,4717.1
2026-04-27 02:00,4717.7,4738.3,4710.6,4732.9
2026-04-27 03:00,4733.2,4744.8,4729.6,4739.8
2026-04-27 04:00,4739.8,4745.8,4738.3,4740.5
2026-04-27 05:00,4741.2,4741.2,4724.0,4725.7
2026-04-27 06:00,4725.4,4730.9,4724.3,4727.6
2026-04-27 07:00,4727.4,4733.5,4725.0,4727.9
2026-04-27 08:00,4728.4,4730.0,4720.2,4722.0
2026-04-27 09:00,4722.3,4723.6,4714.7,4719.1
2026-04-27 10:00,4719.2,4726.4,4714.7,4724.3
2026-04-27 11:00,4724.2,4724.5,4713.5,4719.7
2026-04-27 12:00,4720.1,4728.0,4712.0,4714.1
2026-04-27 13:00,4714.8,4718.9,4703.3,4711.6
2026-04-27 14:00,4711.2,4712.2,4691.3,4693.2
2026-04-27 15:00,4693.4,4697.1,4681.2,4684.8
2026-04-27 16:00,4684.6,4694.3,4681.5,4691.1
2026-04-27 17:00,4691.4,4700.9,4682.5,4697.2
2026-04-27 18:00,4696.7,4700.2,4693.6,4695.7
2026-04-27 19:00,4695.5,4697.9,4691.7,4696.2
2026-04-27 20:00,4695.9,4697.8,4691.8,4697.7
2026-04-27 22:00,4697.5,4706.3,4697.0,4702.7
2026-04-27 23:00,4703.3,4710.3,4702.1,4707.1
2026-04-28 00:00,4707.1,4716.5,4705.2,4705.6
2026-04-28 01:00,4705.2,4705.8,4681.4,4684.7
2026-04-28 02:00,4684.6,4694.0,4679.9,4683.0
2026-04-28 03:00,4682.9,4690.1,4682.3,4685.6
2026-04-28 04:00,4684.6,4685.1,4679.7,4681.3
2026-04-28 05:00,4681.4,4681.5,4638.0,4646.6
2026-04-28 06:00,4645.9,4656.9,4636.5,4642.7
2026-04-28 07:00,4642.6,4653.3,4634.4,4646.6
2026-04-28 08:00,4647.0,4649.4,4628.3,4643.6
2026-04-28 09:00,4643.4,4644.0,4617.7,4618.6
2026-04-28 10:00,4618.4,4630.5,4616.7,4616.7
2026-04-28 11:00,4616.6,4622.4,4568.0,4575.2
2026-04-28 12:00,4575.6,4613.8,4567.6,4607.4
2026-04-28 13:00,4607.0,4608.2,4583.7,4593.4
2026-04-28 14:00,4593.0,4594.0,4570.0,4588.3
2026-04-28 15:00,4587.9,4600.2,4580.5,4600.1
2026-04-28 16:00,4600.0,4608.8,4591.4,4606.2
2026-04-28 17:00,4606.3,4615.9,4601.0,4609.0
2026-04-28 18:00,4609.4,4614.8,4606.0,4608.4
2026-04-28 19:00,4608.5,4614.1,4607.3,4609.6
2026-04-28 20:00,4609.4,4612.9,4605.7,4609.6
2026-04-28 22:00,4611.4,4614.0,4606.3,4607.8
2026-04-28 23:00,4608.3,4610.5,4602.0,4609.7
2026-04-29 00:00,4609.5,4624.3,4608.8,4613.7
2026-04-29 01:00,4613.5,4613.5,4589.1,4598.1
2026-04-29 02:00,4598.5,4617.7,4598.5,4606.9
2026-04-29 03:00,4606.9,4616.7,4605.7,4609.6
2026-04-29 04:00,4609.1,4619.3,4609.1,4618.1
2026-04-29 05:00,4618.6,4621.3,4604.4,4604.7
2026-04-29 06:00,4604.5,4612.3,4594.8,4598.1
2026-04-29 07:00,4598.1,4603.2,4580.5,4581.4
2026-04-29 08:00,4581.6,4590.0,4570.5,4586.1
2026-04-29 09:00,4586.5,4594.3,4564.5,4568.3
2026-04-29 10:00,4568.1,4589.5,4567.6,4582.7
2026-04-29 11:00,4583.0,4585.6,4571.9,4574.7
2026-04-29 12:00,4574.2,4582.1,4552.9,4557.4
2026-04-29 13:00,4558.4,4566.0,4522.2,4534.7
2026-04-29 14:00,4534.7,4556.4,4530.3,4551.9
2026-04-29 15:00,4551.9,4572.0,4548.6,4560.2
2026-04-29 16:00,4560.6,4578.3,4557.2,4559.0
2026-04-29 17:00,4559.4,4568.5,4555.9,4561.8
2026-04-29 18:00,4561.2,4567.0,4532.0,4552.7
2026-04-29 19:00,4553.1,4565.0,4547.4,4560.8
2026-04-29 20:00,4561.2,4567.3,4555.0,4557.3
2026-04-29 22:00,4557.0,4564.9,4550.8,4563.6
2026-04-29 23:00,4564.5,4574.2,4561.6,4573.8
2026-04-30 00:00,4573.6,4586.3,4568.2,4582.0
2026-04-30 01:00,4581.7,4594.1,4576.4,4590.8
2026-04-30 02:00,4591.1,4593.8,4571.1,4576.4
2026-04-30 03:00,4576.4,4581.0,4566.9,4567.9
2026-04-30 04:00,4567.4,4568.0,4552.2,4553.2
2026-04-30 05:00,4553.7,4581.0,4553.0,4573.7
2026-04-30 06:00,4573.7,4603.7,4570.9,4601.6
2026-04-30 07:00,4601.8,4617.3,4596.5,4610.6
2026-04-30 08:00,4610.5,4641.4,4609.2,4628.4
2026-04-30 09:00,4628.7,4644.6,4626.3,4637.2
2026-04-30 10:00,4637.2,4658.8,4635.5,4651.7
2026-04-30 11:00,4651.9,4658.0,4639.5,4643.0
2026-04-30 12:00,4643.3,4652.7,4635.0,4652.4
2026-04-30 13:00,4652.5,4658.6,4622.4,4623.1
2026-04-30 14:00,4623.2,4638.7,4621.3,4632.5
2026-04-30 15:00,4633.3,4637.8,4623.7,4628.1
2026-04-30 16:00,4628.2,4631.1,4618.0,4620.4
2026-04-30 17:00,4620.9,4635.0,4620.8,4629.8
2026-04-30 18:00,4630.0,4638.5,4629.6,4635.4
2026-04-30 19:00,4635.5,4640.3,4627.7,4630.0
2026-04-30 20:00,4630.4,4636.0,4628.3,4636.0
2026-04-30 22:00,4636.9,4652.0,4636.9,4642.7
2026-04-30 23:00,4643.2,4646.8,4638.8,4638.9
2026-05-01 00:00,4639.0,4643.5,4630.5,4631.8
2026-05-01 01:00,4631.6,4634.1,4625.9,4632.6
2026-05-01 02:00,4632.6,4648.1,4628.0,4630.5
2026-05-01 03:00,4630.1,4643.5,4628.9,4638.6
2026-05-01 04:00,4637.8,4640.3,4620.3,4620.4
2026-05-01 05:00,4620.7,4628.2,4614.1,4616.2
2026-05-01 06:00,4616.2,4619.4,4602.2,4606.8
2026-05-01 07:00,4606.0,4609.7,4586.8,4589.5
2026-05-01 08:00,4589.7,4594.0,4575.9,4580.3
2026-05-01 09:00,4580.1,4584.0,4570.0,4573.6
2026-05-01 10:00,4573.7,4587.4,4572.4,4577.9
2026-05-01 11:00,4577.8,4590.6,4573.0,4590.0
2026-05-01 12:00,4589.5,4619.3,4586.0,4602.1
2026-05-01 13:00,4601.6,4640.9,4596.9,4637.5
2026-05-01 14:00,4636.9,4673.0,4635.8,4643.6
2026-05-01 15:00,4644.0,4659.2,4630.4,4654.4
2026-05-01 16:00,4654.0,4661.3,4644.9,4650.6
2026-05-01 17:00,4650.2,4654.5,4638.4,4641.3
2026-05-01 18:00,4641.7,4642.8,4625.3,4636.1
2026-05-01 19:00,4636.2,4639.6,4621.0,4623.0
2026-05-01 20:00,4623.0,4644.5,4619.0,4644.5
2026-05-03 22:00,4633.3,4640.9,4623.5,4630.7
2026-05-03 23:00,4630.0,4632.4,4622.4,4625.0
2026-05-04 00:00,4624.8,4627.9,4612.5,4623.6
2026-05-04 01:00,4624.7,4625.4,4603.8,4624.2
2026-05-04 02:00,4624.0,4629.9,4602.0,4616.9
2026-05-04 03:00,4616.6,4627.9,4609.6,4627.8
2026-05-04 04:00,4626.5,4626.5,4615.8,4616.6
2026-05-04 05:00,4616.0,4624.0,4603.3,4610.2
2026-05-04 06:00,4610.1,4611.9,4594.5,4599.7
2026-05-04 07:00,4599.2,4604.4,4588.6,4589.7
2026-05-04 08:00,4589.9,4592.6,4584.5,4587.5
2026-05-04 09:00,4587.9,4595.3,4582.0,4586.0
2026-05-04 10:00,4586.6,4586.9,4535.0,4573.2
2026-05-04 11:00,4573.5,4581.8,4562.4,4571.1
2026-05-04 12:00,4571.3,4590.4,4570.4,4579.3
2026-05-04 13:00,4579.6,4588.1,4566.3,4575.0
2026-05-04 14:00,4574.9,4594.7,4564.4,4572.7
2026-05-04 15:00,4572.7,4577.9,4520.6,4531.6
2026-05-04 16:00,4531.4,4537.1,4510.1,4520.4
2026-05-04 17:00,4521.1,4541.8,4520.9,4532.5
2026-05-04 18:00,4532.9,4535.2,4519.7,4526.3
2026-05-04 19:00,4525.9,4536.9,4521.0,4527.6
2026-05-04 20:00,4527.5,4533.9,4521.3,4532.4
2026-05-04 22:00,4534.0,4535.9,4524.8,4527.0
2026-05-04 23:00,4526.8,4531.0,4525.7,4528.1
2026-05-05 00:00,4528.6,4540.1,4522.7,4538.9
2026-05-05 01:00,4538.9,4551.5,4534.5,4550.4
2026-05-05 02:00,4550.5,4556.4,4544.0,4548.2
2026-05-05 03:00,4548.1,4551.7,4541.4,4544.7
2026-05-05 04:00,4543.5,4545.8,4537.0,4543.0
2026-05-05 05:00,4543.0,4561.2,4540.4,4555.3
2026-05-05 06:00,4555.3,4561.5,4543.2,4557.5
2026-05-05 07:00,4557.9,4568.1,4553.3,4555.4
2026-05-05 08:00,4555.4,4569.4,4555.2,4568.2
2026-05-05 09:00,4568.6,4570.5,4561.1,4566.5
2026-05-05 10:00,4566.7,4567.2,4550.0,4554.1
2026-05-05 11:00,4554.0,4575.5,4550.1,4572.9
2026-05-05 12:00,4572.7,4585.4,4564.2,4574.7
2026-05-05 13:00,4575.0,4596.2,4575.0,4589.8
2026-05-05 14:00,4590.3,4597.5,4576.4,4593.3
2026-05-05 15:00,4593.6,4595.1,4579.3,4579.4
2026-05-05 16:00,4579.4,4579.9,4564.6,4572.1
2026-05-05 17:00,4571.7,4573.6,4563.8,4570.3
2026-05-05 18:00,4570.5,4576.5,4568.0,4571.7
2026-05-05 19:00,4571.6,4572.0,4562.3,4566.0
2026-05-05 20:00,4566.0,4570.8,4564.9,4567.8
2026-05-05 22:00,4569.3,4587.2,4556.1,4583.2
2026-05-05 23:00,4583.5,4606.2,4579.4,4604.5
2026-05-06 00:00,4604.1,4631.2,4598.3,4629.8
2026-05-06 01:00,4629.9,4639.8,4620.4,4636.4
2026-05-06 02:00,4636.2,4651.8,4635.8,4650.6
2026-05-06 03:00,4650.6,4662.0,4648.0,4653.5
2026-05-06 04:00,4653.6,4664.4,4653.3,4660.0
2026-05-06 05:00,4660.0,4674.8,4655.6,4673.9
2026-05-06 06:00,4673.9,4680.2,4667.8,4679.5
2026-05-06 07:00,4679.8,4693.2,4668.5,4692.4
2026-05-06 08:00,4692.7,4714.3,4682.8,4712.0
2026-05-06 09:00,4712.0,4720.2,4699.7,4713.4
2026-05-06 10:00,4713.3,4734.6,4707.4,4729.6
2026-05-06 11:00,4729.4,4732.7,4702.0,4703.3
2026-05-06 12:00,4703.3,4704.8,4671.0,4694.4
2026-05-06 13:00,4694.1,4719.2,4679.5,4713.5
2026-05-06 14:00,4713.4,4728.7,4708.8,4714.2
2026-05-06 15:00,4714.2,4717.3,4699.2,4699.3
2026-05-06 16:00,4699.0,4703.5,4690.6,4694.0
2026-05-06 17:00,4693.9,4699.1,4689.8,4694.8
2026-05-06 18:00,4695.1,4701.3,4692.7,4696.8
2026-05-06 19:00,4697.1,4711.3,4697.1,4703.0
2026-05-06 20:00,4703.5,4710.4,4695.8,4703.1
2026-05-06 22:00,4702.2,4709.2,4698.0,4704.1
2026-05-06 23:00,4703.7,4708.9,4699.3,4708.2
2026-05-07 00:00,4708.3,4710.4,4694.2,4697.6
2026-05-07 01:00,4697.4,4730.5,4694.0,4723.7
